stype,l1,l2,l3,proportion
literal,4,0,2,3.11325671524e-21
literal,4,0,3,9.49695345222e-14
literal,4,0,4,3.92059483926e-16
literal,4,0,5,3.00620489414e-18
literal,4,1,0,2.09341996265e-26
literal,4,1,1,1.98631260184e-31
literal,4,1,2,8.59631989346e-25
literal,4,1,3,8.11973294114e-20
literal,4,1,4,5.22120179332e-20
literal,4,1,5,6.42138002646e-24
literal,4,2,0,3.51838352465e-22
literal,4,2,1,1.63349033648e-25
literal,4,2,2,1.84639645191e-20
literal,4,2,3,8.49348660404e-15
literal,4,2,4,3.47143186538e-16
literal,4,2,5,3.1476384344e-18
literal,4,3,0,5.61316661703e-22
literal,4,3,1,1.09159034056e-26
literal,4,3,2,2.47693788674e-21
literal,4,3,3,3.29470767112e-19
literal,4,3,4,7.30917399249e-20
literal,4,3,5,2.9336089664e-22
literal,4,4,0,8.78339727566e-22
literal,4,4,1,9.59659583695e-26
literal,4,4,2,2.12216284732e-21
literal,4,4,3,1.68250112251e-14
literal,4,4,4,3.24695102451e-16
literal,4,4,5,4.19737653582e-19
literal,4,5,0,1.59737303015e-24
literal,4,5,1,2.4151832251e-28
literal,4,5,2,3.75908850556e-23
literal,4,5,3,2.47153026913e-18
literal,4,5,4,7.33312550607e-19
literal,4,5,5,2.44685760925e-21
literal,5,0,0,3.57794879622e-23
literal,5,0,1,4.41226133173e-28
literal,5,0,2,4.50624438101e-23
literal,5,0,3,4.13281076183e-18
literal,5,0,4,1.09914809322e-17
literal,5,0,5,6.15703639166e-21
literal,5,1,0,9.9607653352e-28
literal,5,1,1,2.77273352778e-36
literal,5,1,2,3.04473201661e-28
literal,5,1,3,3.31599245524e-24
literal,5,1,4,7.22031414901e-24
literal,5,1,5,6.33159454857e-27
literal,5,2,0,2.50739231206e-22
literal,5,2,1,3.01233945524e-27
literal,5,2,2,1.33884880946e-22
literal,5,2,3,7.84761618259e-17
literal,5,2,4,1.21950775806e-17
literal,5,2,5,7.28235098725e-21
literal,5,3,0,3.07937395395e-24
literal,5,3,1,2.30617652865e-30
literal,5,3,2,3.22625640418e-24
literal,5,3,3,9.61320135415e-22
literal,5,3,4,7.9888801287e-22
literal,5,3,5,7.2486127725e-25
literal,5,4,0,8.84566266274e-23
literal,5,4,1,9.74668757952e-29
literal,5,4,2,8.52138967082e-23
literal,5,4,3,4.89418496919e-17
literal,5,4,4,3.52645624326e-19
literal,5,4,5,8.48670911958e-22
literal,5,5,0,3.01304285506e-26
literal,5,5,1,1.33563796957e-32
literal,5,5,2,2.71790359474e-26
literal,5,5,3,2.21661828187e-21
literal,5,5,4,2.82865040159e-22
literal,5,5,5,8.00576038237e-25
gricean,6,6,6,2.17873594161e-20
gricean,6,6,1,1.90395976125e-23
gricean,6,6,2,1.17572147221e-19
gricean,6,6,3,3.86290777797e-06
gricean,6,6,4,0.00235253368197
gricean,6,6,5,4.06303239074e-06
gricean,6,1,6,2.69689477738e-23
gricean,6,1,1,4.78880949423e-30
gricean,6,1,2,9.35372765351e-24
gricean,6,1,3,6.56750829466e-11
gricean,6,1,4,2.76519844197e-08
gricean,6,1,5,3.75258350863e-12
gricean,6,2,6,1.72358069185e-20
gricean,6,2,1,2.02511970624e-24
gricean,6,2,2,1.41190696412e-20
gricean,6,2,3,4.11432162025e-06
gricean,6,2,4,0.00193244737623
gricean,6,2,5,1.8921033826e-05
gricean,6,3,6,3.08307892215e-18
gricean,6,3,1,3.62847263167e-24
gricean,6,3,2,8.88435239023e-19
gricean,6,3,3,2.37419276466e-06
gricean,6,3,4,0.000429226476647
gricean,6,3,5,2.41805753686e-06
gricean,6,4,6,4.78677313185e-16
gricean,6,4,1,1.19081160618e-20
gricean,6,4,2,1.78855741102e-16
gricean,6,4,3,0.000624924659408
gricean,6,4,4,0.0330180899103
gricean,6,4,5,0.000572465714805
gricean,6,5,6,2.10394728472e-18
gricean,6,5,1,3.067504099e-23
gricean,6,5,2,2.7990768078e-18
gricean,6,5,3,3.88221080027e-06
gricean,6,5,4,0.000381972615055
gricean,6,5,5,1.71592440338e-06
gricean,1,6,6,2.29968920905e-24
gricean,1,6,1,8.67074615868e-31
gricean,1,6,2,9.91702857761e-25
gricean,1,6,3,4.68630100374e-11
gricean,1,6,4,3.97649182969e-08
gricean,1,6,5,2.25747858207e-10
gricean,1,1,6,1.1849379313e-31
gricean,1,1,1,1.56923608846e-45
gricean,1,1,2,1.77105781288e-30
gricean,1,1,3,2.53583166448e-19
gricean,1,1,4,4.59060573055e-14
gricean,1,1,5,3.47086710349e-20
gricean,1,2,6,2.45740678485e-24
gricean,1,2,1,4.87365817154e-31
gricean,1,2,2,4.05536751134e-24
gricean,1,2,3,8.84184184042e-11
gricean,1,2,4,2.78851487892e-07
gricean,1,2,5,1.81288555171e-11
gricean,1,3,6,1.20722184252e-23
gricean,1,3,1,1.45559796813e-32
gricean,1,3,2,6.78380728169e-24
gricean,1,3,3,4.90346797076e-13
gricean,1,3,4,1.70905156249e-09
gricean,1,3,5,4.61706611955e-13
gricean,1,4,6,1.5536584402e-20
