sig_behavior,lexicon,proportion
literal,0,9.43377884167e-06
literal,1,3.28935529076e-06
literal,2,9.43377884167e-06
literal,3,3.79830683355e-05
literal,4,5.57045031624e-05
literal,5,7.39358969986e-05
gricean,0,9.43377884167e-06
gricean,1,3.28935529076e-06
gricean,2,9.43377884167e-06
gricean,3,0.313812062854
gricean,4,0.429073716267
gricean,5,0.256902283585
