sig_behavior,lexicon,proportion
literal,0,3.86437241632e-05
literal,1,3.86437241632e-15
literal,2,3.86437241632e-05
literal,3,5.09211398086e-07
literal,4,0.00012583569997
literal,5,2.20501420638e-05
gricean,0,3.86437241632e-05
gricean,1,3.86437241632e-15
gricean,2,3.86437241632e-05
gricean,3,0.00307581376515
gricean,4,0.99410320097
gricean,5,0.00251801531453
