stype,l1,l2,l3,proportion
literal,4,0,0,0.0032237974098
literal,4,0,1,0.00225665818686
literal,4,0,2,0.0032237974098
literal,4,0,3,0.00278857969038
literal,4,0,4,0.00325215764943
literal,4,0,5,0.00276410628861
literal,4,1,0,0.00225665818686
literal,4,1,1,0.00128951896392
literal,4,1,2,0.00225665818686
literal,4,1,3,0.00180437509378
literal,4,1,4,0.0022765103546
literal,4,1,5,0.00178853936322
literal,4,2,0,0.0032237974098
literal,4,2,1,0.00225665818686
literal,4,2,2,0.0032237974098
literal,4,2,3,0.00278857969038
literal,4,2,4,0.00325215764943
literal,4,2,5,0.00276410628861
literal,4,3,0,0.00278956881769
literal,4,3,1,0.00180501511733
literal,4,3,2,0.00278956881769
literal,4,3,3,0.00233383239122
literal,4,3,4,0.0028117204369
literal,4,3,5,0.0023157455342
literal,4,4,0,0.00325334246811
literal,4,4,1,0.00227733972767
literal,4,4,2,0.00325334246811
literal,4,4,3,0.00281188235349
literal,4,4,4,0.00328066934398
literal,4,4,5,0.00278858859688
literal,4,5,0,0.00276437129584
literal,4,5,1,0.00178871083849
literal,4,5,2,0.00276437129584
literal,4,5,3,0.00231493343474
literal,4,5,4,0.00278764107953
literal,4,5,5,0.00229574351147
literal,5,0,0,0.00274069721394
literal,5,0,1,0.0017733923149
literal,5,0,2,0.00274069721394
literal,5,0,3,0.00229711525123
literal,5,0,4,0.00276496237604
literal,5,0,5,0.0022768950453
literal,5,1,0,0.0017733923149
literal,5,1,1,0.000806087415864
literal,5,1,2,0.0017733923149
literal,5,1,3,0.00131263728642
literal,5,1,4,0.00178909330214
literal,5,1,5,0.00130108288303
literal,5,2,0,0.00274069721394
literal,5,2,1,0.0017733923149
literal,5,2,2,0.00274069721394
literal,5,2,3,0.00229711525123
literal,5,2,4,0.00276496237604
literal,5,2,5,0.0022768950453
literal,5,3,0,0.00229775804544
literal,5,3,1,0.00131300459739
literal,5,3,2,0.00229775804544
literal,5,3,3,0.00183428784185
literal,5,3,4,0.00231610397775
literal,5,3,5,0.0018200328828
literal,5,4,0,0.00276575896226
literal,5,4,1,0.00178960874028
literal,5,4,2,0.00276575896226
literal,5,4,3,0.00231633113295
literal,5,4,4,0.00278917424675
literal,5,4,5,0.00229704176021
literal,5,5,0,0.00227716327221
literal,5,5,1,0.00130123615555
literal,5,5,2,0.00227716327221
literal,5,5,3,0.00181951150846
literal,5,5,4,0.00229641139946
literal,5,5,5,0.00180442266382
gricean,0,0,0,0.00319460402588
gricean,0,0,1,0.00223622281812
gricean,0,0,2,0.00319460402588
gricean,0,0,3,0.00282137879049
gricean,0,0,4,0.00331926909677
gricean,0,0,5,0.00282137873226
gricean,0,1,0,0.00223622281812
gricean,0,1,1,0.00127784161035
gricean,0,1,2,0.00223622281812
gricean,0,1,3,0.00182559804091
gricean,0,1,4,0.00232348836774
gricean,0,1,5,0.00182559800323
gricean,0,2,0,0.00319460402588
gricean,0,2,1,0.00223622281812
gricean,0,2,2,0.00319460402588
gricean,0,2,3,0.00282137879049
gricean,0,2,4,0.00331926909677
gricean,0,2,5,0.00282137873226
gricean,0,3,0,0.00282156747543
gricean,0,3,1,0.00182572013116
gricean,0,3,2,0.00282156747543
gricean,0,3,3,0.00239173857303
gricean,0,3,4,0.00290425393874
gricean,0,3,5,0.00239173853779
gricean,0,4,0,0.00331949108011
gricean,0,4,1,0.00232364375608
gricean,0,4,2,0.00331949108011
gricean,0,4,3,0.00290425393904
gricean,0,4,4,0.00341676928971
gricean,0,4,5,0.00290425389625
gricean,0,5,0,0.00282156741809
gricean,0,5,1,0.00182572009406
gricean,0,5,2,0.00282156741809
gricean,0,5,3,0.00239173853804
gricean,0,5,4,0.00290425389625
gricean,0,5,5,0.0023917385028
gricean,1,0,0,0.00223622281812
gricean,1,0,1,0.00127784161035
gricean,1,0,2,0.00223622281812
gricean,1,0,3,0.00182559804091
gricean,1,0,4,0.00232348836774
gricean,1,0,5,0.00182559800323
gricean,1,1,0,0.00127784161035
gricean,1,1,1,0.000319460402588
gricean,1,1,2,0.00127784161035
gricean,1,1,3,0.000829817291322
gricean,1,1,4,0.00132770763871
gricean,1,1,5,0.000829817274194
gricean,1,2,0,0.00223622281812
gricean,1,2,1,0.00127784161035
gricean,1,2,2,0.00223622281812
gricean,1,2,3,0.00182559804091
gricean,1,2,4,0.00232348836774
gricean,1,2,5,0.00182559800323
gricean,1,3,0,0.00182572013116
gricean,1,3,1,0.000829872786892
gricean,1,3,2,0.00182572013116
gricean,1,3,3,0.00136670775602
gricean,1,3,4,0.00187922313683
gricean,1,3,5,0.00136670773588
gricean,1,4,0,0.00232364375608
gricean,1,4,1,0.00132779643204
gricean,1,4,2,0.00232364375608
gricean,1,4,3,0.00187922313703
gricean,1,4,4,0.0023917385028
gricean,1,4,5,0.00187922310934
gricean,1,5,0,0.00182572009406
gricean,1,5,1,0.000829872770028
gricean,1,5,2,0.00182572009406
gricean,1,5,3,0.00136670773602
gricean,1,5,4,0.00187922310934
gricean,1,5,5,0.00136670771588
gricean,2,0,0,0.00319460402588
gricean,2,0,1,0.00223622281812
gricean,2,0,2,0.00319460402588
gricean,2,0,3,0.00282137879049
gricean,2,0,4,0.00331926909677
gricean,2,0,5,0.00282137873226
gricean,2,1,0,0.00223622281812
gricean,2,1,1,0.00127784161035
gricean,2,1,2,0.00223622281812
gricean,2,1,3,0.00182559804091
gricean,2,1,4,0.00232348836774
gricean,2,1,5,0.00182559800323
gricean,2,2,0,0.00319460402588
gricean,2,2,1,0.00223622281812
gricean,2,2,2,0.00319460402588
gricean,2,2,3,0.00282137879049
gricean,2,2,4,0.00331926909677
gricean,2,2,5,0.00282137873226
gricean,2,3,0,0.00282156747543
gricean,2,3,1,0.00182572013116
gricean,2,3,2,0.00282156747543
gricean,2,3,3,0.00239173857303
gricean,2,3,4,0.00290425393874
gricean,2,3,5,0.00239173853779
gricean,2,4,0,0.00331949108011
gricean,2,4,1,0.00232364375608
gricean,2,4,2,0.00331949108011
gricean,2,4,3,0.00290425393904
gricean,2,4,4,0.00341676928971
gricean,2,4,5,0.00290425389625
gricean,2,5,0,0.00282156741809
gricean,2,5,1,0.00182572009406
gricean,2,5,2,0.00282156741809
gricean,2,5,3,0.00239173853804
gricean,2,5,4,0.00290425389625
gricean,2,5,5,0.0023917385028
gricean,3,0,0,0.00282221673314
gricean,3,0,1,0.00182614023909
gricean,3,0,2,0.00282221673314
gricean,3,0,3,0.00239155979988
gricean,3,0,4,0.00290403685771
gricean,3,0,5,0.00239155976517
gricean,3,1,0,0.00182614023909
gricean,3,1,1,0.000830063745041
gricean,3,1,2,0.00182614023909
gricean,3,1,3,0.00136660559993
gricean,3,1,4,0.00187908267264
gricean,3,1,5,0.0013666055801
gricean,3,2,0,0.00282221673314
gricean,3,2,1,0.00182614023909
gricean,3,2,2,0.00282221673314
gricean,3,2,3,0.00239155979988
gricean,3,2,4,0.00290403685771
gricean,3,2,5,0.00239155976517
gricean,3,3,0,0.00239285334765
gricean,3,3,1,0.00136734477009
gricean,3,3,2,0.00239285334765
gricean,3,3,3,0.00192079650321
gricean,3,3,4,0.00244465006922
gricean,3,3,5,0.00192079648296
gricean,3,4,0,0.00290560759446
gricean,3,4,1,0.00188009903171
gricean,3,4,2,0.00290560759446
gricean,3,4,3,0.00244465006886
gricean,3,4,4,0.00296850362375
gricean,3,4,5,0.00244465004309
gricean,3,5,0,0.00239285331308
gricean,3,5,1,0.00136734475033
gricean,3,5,2,0.00239285331308
gricean,3,5,3,0.00192079648267
gricean,3,5,4,0.00244465004309
gricean,3,5,5,0.00192079646243
gricean,4,0,0,0.00332025491212
gricean,4,0,1,0.00232417843848
gricean,4,0,2,0.00332025491212
gricean,4,0,3,0.00290403685711
gricean,4,0,4,0.00341651389997
gricean,4,0,5,0.00290403681497
gricean,4,1,0,0.00232417843848
gricean,4,1,1,0.00132810196485
gricean,4,1,2,0.00232417843848
gricean,4,1,3,0.00187908267225
gricean,4,1,4,0.00239155972998
gricean,4,1,5,0.00187908264498
gricean,4,2,0,0.00332025491212
gricean,4,2,1,0.00232417843848
gricean,4,2,2,0.00332025491212
gricean,4,2,3,0.00290403685711
gricean,4,2,4,0.00341651389997
gricean,4,2,5,0.00290403681497
gricean,4,3,0,0.00290560759368
gricean,4,3,1,0.0018800990312
gricean,4,3,2,0.00290560759368
