lexicon,proportion
0,0.00142562518685
1,0.00310334040452
2,0.00114771158171
3,0.00106428347625
4,0.00070956484049
5,0.00153370406018
6,0.000699190405568
7,0.00069670776955
8,0.00144112068093
9,0.00307857254449
10,0.00120295126507
11,0.00112717062153
12,0.00177641322896
13,0.00309106351921
14,0.00154728800228
15,0.00145989104755
16,0.000680523920798
17,0.00139543731242
18,0.000672282362578
19,0.000670374614841
20,0.000677379686399
21,0.000720991578714
22,0.000677009879404
23,0.000676923189291
24,0.00057871398487
25,0.00131829956404
26,0.000570863354984
27,0.000569302234895
28,0.000744705982442
29,0.00143515519071
30,0.000736361941238
31,0.000734269476658
32,0.00199939906896
33,0.00312486100612
34,0.0017392972276
35,0.0016339841514
36,0.000794090412399
37,0.00158422790219
38,0.00078349764834
39,0.000780702061081
40,0.00193833053502
41,0.00310033252983
42,0.00171325514
43,0.00162139276215
44,0.00405520811483
45,0.231861925169
46,0.00401039746602
47,0.00398065867917
48,0.00102207994132
49,0.00123062466273
50,0.00101956063021
51,0.00101873678669
52,0.00093719000327
53,0.00111962070668
54,0.00093516318043
55,0.000934542222797
56,0.00109474615089
57,0.0806044725247
58,0.0010924008444
59,0.00109159408286
60,0.00102159021839
61,0.00121224305876
62,0.00101930794919
63,0.00101856163322
64,0.00300398884542
65,0.00177833501726
66,0.00106617040058
67,0.0010426528046
68,0.00150972272491
69,0.000746844972024
70,0.00070305229951
71,0.000701666261401
72,0.00303874270036
73,0.00207842823996
74,0.00137111165671
75,0.00134697793795
76,0.00311926921805
77,0.0027619269591
78,0.00206123969466
79,0.00203557989919
80,0.00150674061262
81,0.000749057112256
82,0.000705641474639
83,0.000704266970427
84,0.00288777791229
85,0.00142936465803
86,0.00093375402622
87,0.000917634982062
88,0.00291623845196
89,0.00159750653011
90,0.00109912736152
91,0.00108262240173
92,0.00300474217646
93,0.00215363781805
94,0.00165879374458
95,0.00164140749185
96,0.0031206267806
97,0.00277254734927
98,0.00207023692618
99,0.00204449453437
100,0.00304482888206
101,0.0023320944569
102,0.00178258398118
103,0.00176302701466
104,0.00315528570419
105,0.00306580494281
106,0.00236822861048
107,0.00234190151829
108,0.249047729836
109,0.00431471959914
110,0.00427198171858
111,0.00427007162708
112,0.00255914911556
113,0.00130957578369
114,0.00111461605448
115,0.0011081552765
116,0.00250520225306
117,0.0012425024424
118,0.00106148061503
119,0.00105551651349
120,0.134741543692
121,0.00173139339307
122,0.00169395897904
123,0.00169264100164
124,0.00260775989229
125,0.0015393328182
126,0.0013584523131
127,0.00135229984976
128,0.000826244727076
129,0.000731784667778
130,0.000658046335637
131,0.000610124735752
132,0.000543570713101
133,0.000599928349646
134,0.000534041131152
135,0.000555932382696
136,0.000910240530501
137,0.000743812842189
138,0.000756386984984
139,0.000624108173174
140,0.000848645325073
141,0.000788311734081
142,0.000828542055395
143,0.000724580481663
144,0.000701308222027
145,0.000706387410732
146,0.000693106657641
147,0.000668862353564
148,0.000609599661487
149,0.000633216361316
150,0.000603905208074
151,0.000603822044279
152,0.000600694872615
153,0.000633259814267
154,0.000592874972599
155,0.000595739338939
156,0.000784286341807
157,0.000783196757469
158,0.000783900671453
159,0.000780905484583
160,0.0013717749363
161,0.000806313091569
162,0.00120137517295
163,0.000687993008508
164,0.000628742016712
165,0.000657620602851
166,0.000618984825585
167,0.000614149200757
168,0.00138723123935
169,0.000816965724218
170,0.00123262848801
171,0.000700496701138
172,0.0024855430022
173,0.00192241611071
174,0.0024681769238
175,0.00188222020445
176,0.000956877923052
177,0.000936666036382
178,0.000954648055494
179,0.000925211418619
180,0.000461635561814
181,0.000465417086491
182,0.000461343652075
183,0.000463390156518
184,0.00102880503543
185,0.00100451402763
186,0.0010267102957
187,0.000993999041561
188,0.00094848920107
189,0.000931811408011
190,0.000946612596505
191,0.000922010925003
192,0.00038778624101
193,0.000589168682922
194,0.000554694528887
195,0.000256883529258
196,0.000641586194125
197,0.000663021512255
198,0.000647888481753
199,0.00028710184489
200,0.000403748257499
201,0.000523465287167
202,0.000501586314649
203,0.000262098818699
204,0.000770659322512
205,0.000751518800602
206,0.000731286312974
207,0.000282506566724
208,0.000511573567404
209,0.000561606680108
210,0.000547921459152
211,0.000279807891465
212,0.000572467690962
213,0.000600866820215
214,0.000590029547316
215,0.000294995677406
216,0.000396237237441
217,0.000401657700868
218,0.000400660671485
219,0.000349968937622
220,0.000657529112693
221,0.000669572131742
222,0.000658930162601
223,0.000305785081138
224,0.000673847292689
225,0.000691195335003
226,0.000670497276866
227,0.000277028232415
228,0.000771580933668
229,0.000770706012003
230,0.000769808954609
231,0.000602339353922
232,0.000576347082287
233,0.000615756644973
234,0.000600360378708
235,0.000281428500941
236,0.00175587789354
237,0.00153216318583
238,0.00152352911262
239,0.000424897759155
240,0.000976537051283
241,0.000955581275556
242,0.000951505473795
243,0.000459663022871
244,0.000915466801123
245,0.000901737031087
246,0.000898168121276
247,0.000465070378063
248,0.000995953023844
249,0.000976528304894
250,0.000973042256581
251,0.000490339461661
252,0.000960773685664
253,0.000957269746557
254,0.000956544941097
255,0.000752749184925
