lexicon,proportion
243,7.44326437199e-230
244,7.48810079683e-187
245,1.37032247322e-189
246,1.55173283088e-189
247,1.04470255541e-231
248,1.38687450122e-186
249,9.53181320102e-190
250,2.34145946376e-189
251,3.44551346768e-231
252,2.09681208392e-250
253,3.87464168561e-251
254,1.3832502848e-251
255,4.80910017348e-263
