run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0607572237626,0.0814809062502,0.115987842814,0.0301647269471,0.0704791328809,0.257826757975,0.0327309000243,0.0040536158472,0.0807726930608,0.177472848131,0.0307276401867,0.0575457121204,1,0.8,30,15,3,10,20,0.000103624429998,1.06111416318e-11,0.000103624429998,0.00177226836444,0.00101102438312,0.00242947155822,0.000103624429998,1.06111416318e-11,0.000103624429998,0.00594101979623,0.98249097096,0.00594074719685
1,0.114501963725,0.0391819052951,0.0149813433677,0.0327449942895,0.0298328582602,0.0136596835532,0.103757678972,0.0305578194093,0.0766230529313,0.224811708993,0.095842767407,0.223504223797,1,0.8,30,15,3,10,20,0.000102228345221,1.04681825506e-11,0.000102228345221,0.00408339008848,0.000288015614714,2.39957484491e-05,0.000102228345221,1.04681825506e-11,0.000102228345221,0.00594593661,0.983304084752,0.00594566378501
2,0.0217842597362,0.00213647690819,0.0387052663532,0.132318315168,0.0284740200693,0.0660564980188,0.0512818265,0.0385858101461,0.405800084768,0.0783206528819,0.0486157186762,0.0879210707747,1,0.8,30,15,3,10,20,5.73122644762e-05,5.86877588236e-12,5.73122644762e-05,0.0354971907774,0.0021509418843,0.000648573371219,5.73122644762e-05,5.86877588236e-12,5.73122644762e-05,0.00574446192688,0.949985384624,0.00574419834641
3,0.0523384459679,0.18235699483,0.132682864574,0.0219493386589,0.00804035948765,0.185435775527,0.151437088865,0.0462451458739,0.128499912132,0.0263267116444,0.0640754666942,0.000611895744355,1,0.8,30,15,3,10,20,0.0019345211864,1.98094969487e-10,0.0019345211864,0.0892978879119,0.0102648143017,0.00617305910858,0.0019345211864,1.98094969487e-10,0.0019345211864,0.0052966752074,0.875933046155,0.0052964321733
4,0.00480745700234,0.0771913918817,0.255564452996,0.114128504831,0.0260972682231,0.270551304197,0.0162280092016,0.106144656779,0.0279905987467,0.028229959072,0.02137707979,0.0516893172789,1,0.8,30,15,3,10,20,0.000115742549945,1.18520371143e-11,0.000115742549945,0.198510818871,0.00545965719185,0.00489172068564,0.000115742549945,1.18520371143e-11,0.000115742549945,0.00472399801011,0.781227053765,0.00472378125289
5,0.0535939612979,0.20727543005,0.187168438637,0.0239052032294,0.0262642309373,0.00152623021782,0.0846730857481,0.108488443693,0.0418710227204,0.0134245097631,0.11205370657,0.139755737137,1,0.8,30,15,3,10,20,6.09378279515e-05,6.24003358223e-12,6.09378279515e-05,0.000130960867054,0.000892210291679,5.75935285974e-05,6.09378279515e-05,6.24003358223e-12,6.09378279515e-05,0.00596672715766,0.986742303452,0.00596645337872
6,0.14133361058,0.0725027845366,0.0584817151687,0.0470571118076,0.147228793122,0.0100595730611,0.34420902302,0.0111634836407,0.00558836954458,0.119799927987,0.0276396344746,0.0149359730562,1,0.8,30,15,3,10,20,8.62283545812e-05,8.82978350912e-12,8.62283545812e-05,0.057527399827,0.0035091675544,0.000957531866283,8.62283545812e-05,8.82978350912e-12,8.62283545812e-05,0.0056021874647,0.926456869439,0.00560193041239
7,0.175137926288,0.012520190619,0.162699427432,0.0511256471081,0.135891721672,0.0784190096899,0.177137303955,0.0297608037701,0.0427754080459,0.0154224895406,0.108905821051,0.0102042508284,1,0.8,30,15,3,10,20,4.39664993494e-05,4.50216953338e-12,4.39664993494e-05,0.000824930866105,0.0109662301748,0.00100120482507,4.39664993494e-05,4.50216953338e-12,4.39664993494e-05,0.00589716013939,0.975237718436,0.00589688955248
8,0.0274873108127,0.155786747058,0.0613825035207,0.00121410367102,0.0443198838387,0.0244994743541,0.111067729766,0.057134628662,0.0399289397831,0.125300208939,0.079654911827,0.272223557768,1,0.8,30,15,3,10,20,1.03827723118e-06,1.06319588472e-13,1.03827723118e-06,0.000254617936685,0.000264553487081,0.000745744917651,1.03827723118e-06,1.06319588472e-13,1.03827723118e-06,0.00596705843094,0.986797087482,0.0059667846368
9,0.239371367167,0.0200976501597,0.0337366820245,0.218766528968,0.0519900575667,0.0193812937232,0.0271537207085,0.123181634977,0.0076459656242,0.0319090513212,0.137642886033,0.0891231617257,1,0.8,30,15,3,10,20,3.44619201272e-08,3.52890062102e-15,3.44619201272e-08,0.0414814707176,0.00852289024456,6.87711591789e-06,3.44619201272e-08,3.52890062102e-15,3.44619201272e-08,0.00567584066457,0.938637203177,0.00567558023274
