run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0275618721142,0.00534614377,0.1795028354,0.134520421478,0.10522597565,0.0791830610998,0.0195370658,0.0424124975317,0.142710432596,0.0906193618939,0.0210503939528,0.152329938714,1,0.01,10,5,12,10,20,2.20105107578e-07,1.99059113911e-07,2.20105107578e-07,6.73726593881e-07,2.30435845018e-06,7.58155700899e-07,2.20105107578e-07,1.99059113911e-07,2.20105107578e-07,0.404913122918,0.304996551968,0.290085310334
1,0.0243302102901,0.182150944625,0.0485802367768,0.11885096851,0.102548353845,0.0799775605872,0.080637313046,0.107314049514,0.00792374498692,0.119649751946,0.0773751349086,0.0506617309641,1,0.01,10,5,12,10,20,1.1806656004e-05,1.06777280558e-05,1.1806656004e-05,0.000386622578165,0.000223379110851,0.000106684010021,1.1806656004e-05,1.06777280558e-05,1.1806656004e-05,0.404597186655,0.3047585763,0.289858969266
2,0.134472075753,0.256878817076,0.0821922364828,0.142673085754,0.0433469927761,0.0386132888608,0.0476578269251,0.004382584501,0.104780394195,0.0622935258665,0.0414118822517,0.0412972895584,1,0.01,10,5,12,10,20,3.73014899579e-08,3.3734798889e-08,3.73014899579e-08,3.56865811001e-07,1.07109168019e-07,2.52911090632e-07,3.73014899579e-08,3.3734798889e-08,3.73014899579e-08,0.404914775465,0.304997796732,0.290086494242
3,0.0632356272875,0.0313368205705,0.205102969342,0.0155783366702,0.0481836820332,0.0738749089736,0.0471113302779,0.174063018855,0.147887301682,0.0360593761303,0.0928581483524,0.0647084798253,1,0.01,10,5,12,10,20,1.09538631315e-06,9.90647746826e-07,1.09538631315e-06,5.19080194295e-06,5.12416753105e-06,6.2801210277e-06,1.09538631315e-06,9.90647746826e-07,1.09538631315e-06,0.404905857464,0.304991079342,0.290080105263
4,0.0890744875632,0.011220767147,0.00511445870358,0.0151402835615,0.150533877583,0.111291195056,0.0129107918984,0.137767482159,0.00720326403113,0.0734480091231,0.130783318254,0.25551206492,1,0.01,10,5,12,10,20,1.25762716592e-05,1.1373754659e-05,1.25762716592e-05,0.000258214689184,8.31127952073e-05,0.000371150887922,1.25762716592e-05,1.1373754659e-05,1.25762716592e-05,0.404597080085,0.304758496028,0.289858892918
5,0.102113342309,0.085057430265,0.0684869273837,0.00843739526304,0.189400735728,0.0865976149482,0.0757969972158,0.185819501424,0.0150035622089,0.059987973538,0.108254430214,0.015044089502,1,0.01,10,5,12,10,20,8.5999839964e-05,7.7776713717e-05,8.5999839964e-05,0.00088411478914,0.000603066523456,0.000461572734147,8.5999839964e-05,7.7776713717e-05,8.5999839964e-05,0.403923796941,0.304251352579,0.289376543646
6,0.182443057378,0.0755146547074,0.0544759334224,0.0768510703621,0.0271689008574,0.142122076093,0.0148841706124,0.0482130062884,0.070965168357,0.0501078320585,0.160024861233,0.0972292686301,1,0.01,10,5,12,10,20,7.33503504648e-06,6.6336742156e-06,7.33503504648e-06,2.15193316356e-05,0.000311936523703,4.65872506727e-05,7.33503504648e-06,6.6336742156e-06,7.33503504648e-06,0.404744015848,0.304869173846,0.289964159712
7,0.0281763331068,0.127327379367,0.0314305456559,0.203760396827,0.0698731133696,0.147475243155,0.126965683231,0.0574581735279,0.0348084222209,0.147210190765,0.0042094125734,0.0213051062003,1,0.01,10,5,12,10,20,3.78805879361e-06,3.42585247202e-06,3.78805879361e-06,0.000509746614807,3.74682261869e-05,2.02601236067e-05,3.78805879361e-06,3.42585247202e-06,3.78805879361e-06,0.404676464537,0.304818291532,0.289915765027
8,0.151163696901,0.0222303998356,0.0246732488135,0.0132077472433,0.155171799067,0.295078588324,0.0286405295386,0.0472443513004,0.0587975229313,0.0793097978143,0.0579583558458,0.0665239623856,1,0.01,10,5,12,10,20,1.10084391317e-07,9.95583502455e-08,1.10084391317e-07,2.5794331428e-07,4.47906926861e-07,2.64866333467e-07,1.10084391317e-07,9.95583502455e-08,1.10084391317e-07,0.404914501495,0.304997590368,0.290086297966
9,0.0453103086986,0.0689852951001,0.0347807763035,0.432863664421,0.0522370081127,0.0192709860396,0.06488577395,0.0576031826859,0.105077994723,0.00716505697999,0.0314340199264,0.0803859330586,1,0.01,10,5,12,10,20,2.74205566319e-07,2.47986599047e-07,2.74205566319e-07,2.19648259092e-06,2.3601807479e-06,9.15878074232e-07,2.74205566319e-07,2.47986599047e-07,2.74205566319e-07,0.404912292616,0.304995926552,0.290084715495
10,0.0440048611526,0.177987037566,0.0565273113616,0.000189424807831,0.260353622679,0.145596250579,0.0143318472382,0.108945723635,0.000143471196486,0.11185223785,0.0167613086855,0.0633069032485,1,0.01,10,5,12,10,20,2.01195946457e-05,1.8195800754e-05,2.01195946457e-05,0.000425776853721,0.000366489102383,0.000275652585653,2.01195946457e-05,1.8195800754e-05,2.01195946457e-05,0.404435414652,0.30463672324,0.289743073586
