run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0437223736884,0.213215970789,0.356755724828,0.0101569209525,0.00634274010819,0.0221198409737,0.185331536398,0.0571134770257,0.0376763739359,0.0569482213428,0.00434948844114,0.00626733151684,1,0.4,30,17,15,2,20,0.00309738680272,0.00111505924898,0.00309738680272,0.0536804406463,0.0234601654326,0.0105513995199,0.00309738680272,0.00111505924898,0.00309738680272,0.251984573121,0.393721802178,0.251981953394
1,0.0441312773466,0.00912348732412,0.0536173796482,0.0718586299744,0.067169112675,0.143112426193,0.0468204289929,0.166070267365,0.00489631658228,0.0415295291052,0.0573831528775,0.294287991916,1,0.4,30,17,15,2,20,0.000122328520713,4.40382674567e-05,0.000122328520713,0.0069044184541,0.00134719620054,0.00135081877571,0.000122328520713,4.40382674567e-05,0.000122328520713,0.277846338526,0.434130388674,0.277843448752
2,0.0582647152961,0.174117255369,0.01681600064,0.000428781276166,0.0365626279431,0.121560067453,0.0738990734501,0.00376957099094,0.179717233377,0.176036788242,0.148639727159,0.0101881588038,1,0.4,30,17,15,2,20,2.04081275766e-07,7.34692592759e-08,2.04081275766e-07,8.42650701512e-06,7.67304337686e-07,4.62592351119e-07,2.04081275766e-07,7.34692592759e-08,2.04081275766e-07,0.280700873391,0.438590553013,0.280697953928
3,0.0633240294515,0.146720891543,0.0583368552174,0.0627414913038,0.0421891311996,0.0825730795783,0.0696697701036,0.151097041019,0.0692454351806,0.0130523104222,0.236466077879,0.0045838871018,1,0.4,30,17,15,2,20,0.000159006820682,5.72424554455e-05,0.000159006820682,0.0255924079141,0.00474802350834,0.000869591410485,0.000159006820682,5.72424554455e-05,0.000159006820682,0.271732408638,0.424577473375,0.27172958296
4,0.0669040716179,0.0340088786261,0.0254660883606,0.121160329894,0.0427526933092,0.00469468683636,0.187246635981,0.12123532487,0.0384908601567,0.0677149589756,0.0611347125604,0.229190758813,1,0.4,30,17,15,2,20,0.00019169374132,6.90097468753e-05,0.00019169374132,0.0026852667044,0.000816096144361,0.000394508586725,0.00019169374132,6.90097468753e-05,0.00019169374132,0.279356288953,0.436489661678,0.279353383474
5,0.12967826857,0.0151308451852,0.10934117604,0.103609005253,0.0497711732123,0.0570338725173,0.246765390863,0.0737995698582,0.0564221990013,0.0262690941365,0.0962716015666,0.0359078037963,1,0.4,30,17,15,2,20,0.00082519536495,0.000297070331382,0.00082519536495,0.0307130285415,0.00572608855515,0.00351714616015,0.00082519536495,0.000297070331382,0.00082519536495,0.268394657618,0.419362290855,0.268391866147
6,0.0778950957726,0.0758876305004,0.131211898182,0.0694785836941,0.0486724366163,0.0947958327609,0.0597446715308,0.0610460555176,0.0455576084653,0.0884940654226,0.0266704243243,0.220545697213,1,0.4,30,17,15,2,20,0.000203294574765,7.31860469155e-05,0.000203294574765,0.0128961740724,0.00223128012786,0.00141848037005,0.000203294574765,7.31860469155e-05,0.000203294574765,0.275789997098,0.430917388987,0.275787128952
7,0.0668678787024,0.0189146819179,0.107719706801,0.127647353822,0.0124537915892,0.100812631724,0.190066768885,0.00471878872278,0.00408774836515,0.267330469565,0.0469043779105,0.0524758019943,1,0.4,30,17,15,2,20,0.000143239689771,5.15662883174e-05,0.000143239689771,0.00820974180758,0.00119479573382,0.00163962576953,0.000143239689771,5.15662883174e-05,0.000143239689771,0.277413933628,0.433454763247,0.277411048478
8,0.0909127888073,0.0301476948527,0.0443252186401,0.119763861366,0.00709258877778,0.206677134208,0.0148873955446,0.165326914533,0.0812381892022,0.189865910094,0.0167451038672,0.0330172001071,1,0.4,30,17,15,2,20,0.000293431731327,0.000105635423278,0.000293431731327,0.00415221464779,0.00222201593389,0.00081005695651,0.000293431731327,0.000105635423278,0.000293431731327,0.278298422957,0.434836763252,0.278295528481
9,0.12576348541,0.0503896389171,0.133369004689,0.16981815907,0.0540890879583,0.035690110669,0.10535280603,0.053539636509,0.0117221691381,0.0491215949232,0.135927996228,0.0752163104583,1,0.4,30,17,15,2,20,0.00024960328666,8.98571831975e-05,0.00024960328666,0.026077091202,0.00247555999915,0.00352776714012,0.00024960328666,8.98571831975e-05,0.00024960328666,0.271368052067,0.424008171999,0.27136523008
