run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0042003948583,0.150235536467,0.00286564214456,0.0720576245073,0.0737401861695,0.396456067347,0.0485590480835,0.0616311022998,0.0114856630287,0.0330887138193,0.0561053685325,0.0895746527429,1,0.2,30,5,12,1,20,0.0353628783482,0.0282903026786,0.0353628783482,0.0701732366164,0.0535322987424,0.0438877877399,0.0353628783482,0.0282903026786,0.0353628783482,0.203906270193,0.22656225682,0.203906031138
1,0.198497639497,0.123126271295,0.0221999564042,0.0677291856759,0.00429834951965,0.0340273706839,0.184631471716,0.040073142103,0.0300214558437,0.13109094262,0.124308989787,0.0399952248553,1,0.2,30,5,12,1,20,0.0330760884299,0.0264608707439,0.0330760884299,0.0685807591907,0.0502598295559,0.0427335181228,0.0330760884299,0.0264608707439,0.0330760884299,0.209957252821,0.233285550054,0.209956995048
2,0.0578838821591,0.15035258393,0.099944455975,0.00220358635822,0.0717625691383,0.000396832764619,0.0170181557949,0.208324067351,0.0233811658783,0.0470594510934,0.0474796547749,0.274193594783,1,0.2,30,5,12,1,20,0.0456452233401,0.0365161786721,0.0456452233401,0.0719604313266,0.0647210207215,0.0484241539185,0.0456452233401,0.0365161786721,0.0456452233401,0.179769067396,0.199743197859,0.179768878073
3,0.0257140207275,0.0844751658905,0.057722679469,0.00970597233376,0.362506239332,0.0700442294494,6.9290935323e-05,0.0176199955563,0.00254485295482,0.0507142457185,0.279204518687,0.0396787889449,1,0.2,30,5,12,1,20,0.0369651930003,0.0295721544002,0.0369651930003,0.0708459019144,0.0517412352335,0.045456937519,0.0369651930003,0.0295721544002,0.0369651930003,0.20087721527,0.22319664698,0.200876982282
4,0.00179954991613,0.0626371457121,0.00902487709827,0.116244106209,0.309830089551,0.0815138998304,0.0627005241126,0.0947716187312,0.00973947447413,0.0875551453423,0.123246780812,0.0409367882107,1,0.2,30,5,12,1,20,0.0338409549345,0.0270727639476,0.0338409549345,0.0728129420981,0.0547825975516,0.0454238993782,0.0338409549345,0.0270727639476,0.0338409549345,0.204901614719,0.2276682098,0.20490138882
5,0.046655163677,0.19959639096,0.246470759733,0.0864452504719,0.00354803201358,0.0628922309572,0.048234808629,0.151775420371,0.0225069025614,0.102758961098,0.000817976241164,0.0282981032872,1,0.2,30,5,12,1,20,0.0348347666441,0.0278678133153,0.0348347666441,0.0679769886225,0.0555408905967,0.042263164515,0.0348347666441,0.0278678133153,0.0348347666441,0.205439403528,0.228265715542,0.205439143988
6,0.0556222509673,0.0293611777716,0.0739444138107,0.120770636834,0.0273884962034,0.020463158416,0.144932645083,0.0123369612531,0.0539999559685,0.219879992435,0.0230004800636,0.218299831194,1,0.2,30,5,12,1,20,0.0275189669512,0.0220151735609,0.0275189669512,0.0637063977093,0.0411975590273,0.0398745766733,0.0275189669512,0.0220151735609,0.0275189669512,0.225358686313,0.25039819229,0.225358373061
7,0.0381229284987,0.0131592531633,0.0896309407781,0.0291385617568,0.0626411371515,0.175249859891,0.020419663873,0.061286119769,0.168910892082,0.0162618316089,0.00686790440465,0.318310907024,1,0.2,30,5,12,1,20,0.0317003839343,0.0253603071474,0.0317003839343,0.0687384479805,0.0470341084557,0.0442533247961,0.0317003839343,0.0253603071474,0.0317003839343,0.2129311677,0.236589895282,0.212930905754
8,0.0107018437172,0.0569221201354,0.271432867,0.0210737977494,0.0374577825403,0.00254653552737,0.0153465600589,0.0405458311574,0.00133651096984,0.370512605306,0.135220775611,0.0369027702285,1,0.2,30,5,12,1,20,0.0285093775373,0.0228075020298,0.0285093775373,0.0661683972796,0.042718314913,0.0414128003336,0.0285093775373,0.0228075020298,0.0285093775373,0.221801331331,0.246445601018,0.221801040916
9,0.105319911274,0.00411977944449,0.058065312954,0.245698709663,0.0546818894257,0.0124516301359,0.112059900006,0.0517150663139,0.134950888577,0.105730418176,0.000528526380935,0.114677967649,1,0.2,30,5,12,1,20,0.0252162269213,0.0201729815371,0.0252162269213,0.0646686904884,0.0396609516096,0.0402717869261,0.0252162269213,0.0201729815371,0.0252162269213,0.229560542332,0.255066925203,0.229560232682
