run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0302981566509,0.164462094828,0.0538375468795,0.0208403633286,0.0562005581594,0.0241946548002,0.090950509749,0.121581626385,0.19711681875,0.0146486428428,0.19821863708,0.0276503905465,1,0.7,30,9,5,10,20,0.00067223177244,3.96946139308e-09,0.00067223177244,0.0239679382069,0.00426972883225,0.00123913512292,0.00067223177244,3.96946139308e-09,0.00067223177244,0.0126884165157,0.9424577791,0.0126880671932
1,0.0445484541861,0.155227762978,0.101100808638,0.0533774147623,0.0121167020265,0.0693710967729,0.0477791898152,0.146851848022,0.124066432581,0.00885351329549,0.133023695424,0.103683081499,1,0.7,30,9,5,10,20,6.82888809127e-06,4.03239012901e-11,6.82888809127e-06,5.59597519344e-06,0.000653218622435,7.34863891225e-06,6.82888809127e-06,4.03239012901e-11,6.82888809127e-06,0.0131010213775,0.973104839057,0.0131006606956
2,0.0129635925202,0.442919089084,0.0444141689934,0.117297024565,0.00736915643623,0.0747806899615,0.125309735135,0.0712573717685,0.0567331167581,0.000282277520453,0.0232350998762,0.0234386773819,1,0.7,30,9,5,10,20,0.00274128336514,1.61870041428e-08,0.00274128336514,0.117416660456,0.0235472467205,0.0462127072769,0.00274128336514,1.61870041428e-08,0.00274128336514,0.0105124518414,0.780833605446,0.010512162425
3,0.0421511524385,0.167099706819,0.0285662143233,0.0717315078289,0.0444759338773,0.0603890600422,0.0206300827443,0.196733436608,0.0460561344347,0.229087812753,0.0870552439669,0.00602371416355,1,0.7,30,9,5,10,20,0.000168444959712,9.94650642605e-10,0.000168444959712,0.00474888253332,0.00290071884089,0.000623072615695,0.000168444959712,9.94650642605e-10,0.000168444959712,0.0129928239174,0.96506825405,0.0129924662143
4,0.0119085878141,0.081702722715,0.0257394414671,0.0742251176478,0.0147164441481,0.00730156882287,0.244032219338,0.0663392237149,0.142923681223,0.113093760806,0.0238646312192,0.194152601084,1,0.7,30,9,5,10,20,3.00941985188e-05,1.77703232834e-10,3.00941985188e-05,6.08142535483e-06,0.000170696299924,0.000221628032577,3.00941985188e-05,1.77703232834e-10,3.00941985188e-05,0.0131033116613,0.973274954515,0.0131029509164
5,0.16984684733,0.00966227962685,0.0171837084316,0.359087851042,0.00916248587602,0.0436687574964,0.00811632679179,0.0505017332744,0.0930977885046,0.0129833285606,0.0591254028011,0.167563490265,1,0.7,30,9,5,10,20,9.71079706974e-05,5.73412856171e-10,9.71079706974e-05,0.00547169533646,0.00139025854571,0.00144346856222,9.71079706974e-05,5.73412856171e-10,9.71079706974e-05,0.0129961355364,0.965314231247,0.0129957777422
6,0.00627752754318,0.0141691231704,0.00146257986317,0.254836766411,0.093723069915,0.0537736907865,0.140788727042,0.184772602521,0.206060950784,0.0182527909242,0.00234717237101,0.0235349986698,1,0.7,30,9,5,10,20,0.00242962554172,1.43466958613e-08,0.00242962554172,0.122778022135,0.0578731270017,0.0159372328285,0.00242962554172,1.43466958613e-08,0.00242962554172,0.0104054060314,0.772882561581,0.0104051195621
7,0.000271369225786,0.280467742205,0.0755366357813,0.00969717546224,0.134100676264,0.00478614772988,0.204801946924,0.0735033055956,0.0749778470572,0.118942750452,0.0108306612764,0.0120837420268,1,0.7,30,9,5,10,20,7.72986313309e-05,4.56440688146e-10,7.72986313309e-05,0.00555145492431,0.0148159166141,0.00149009503679,7.72986313309e-05,4.56440688146e-10,7.72986313309e-05,0.0128195055208,0.952194679876,0.0128191525893
8,0.103369006941,0.058276848427,0.0124527744632,0.0452421033363,0.0376369119524,0.0861308044191,0.41663865703,0.0501269379694,0.0983860636201,0.00529964575265,0.0335029439261,0.0529373021625,1,0.7,30,9,5,10,20,0.00107151300905,6.32717716713e-09,0.00107151300905,0.0290560336887,0.0227663999491,0.00482109242149,0.00107151300905,6.32717716713e-09,0.00107151300905,0.0123113191462,0.914448109898,0.0123109802055
9,0.247627183139,0.0102928947063,0.0556081586201,0.0543909515781,0.0858930819407,0.13908261829,0.00885424729824,0.170662021377,0.128737242714,0.00383132144111,0.0764448888956,0.0185753899989,1,0.7,30,9,5,10,20,0.00081893857439,4.83575038791e-09,0.00081893857439,0.0272576633689,0.0281493647873,0.000268228201075,0.00081893857439,4.83575038791e-09,0.00081893857439,0.012337258428,0.916374802473,0.0123369187732
10,0.0808813979012,0.0017647993983,0.434468882923,0.0365902932716,0.0295848003737,0.00705830776213,0.0807509321433,0.0098458913421,0.162258032734,0.0221234349919,0.128013947357,0.00665927980084,1,0.7,30,9,5,10,20,0.00122589364281,7.23877937141e-09,0.00122589364281,0.0283703530456,0.00930502082097,0.000602029658355,0.00122589364281,7.23877937141e-09,0.00122589364281,0.0125440052733,0.931731342226,0.0125436599265
11,0.0696069864553,0.0821978561854,0.113946235603,0.0549225011613,0.0600603969903,0.100114154095,0.00583328338615,0.134447033038,0.086032748532,0.074474050006,0.0863221669765,0.132042587571,1,0.7,30,9,5,10,20,0.000112081405433,6.6182949094e-10,0.000112081405433,0.00134769252233,0.00243807014301,0.000372126008574,0.000112081405433,6.6182949094e-10,0.000112081405433,0.0130497249567,0.969294693737,0.0130493656871
12,0.120094868223,0.0153153302134,0.0662867648129,0.0567539320623,0.088630559407,0.039915374448,0.103756518364,0.253107235282,0.00503050219678,0.119172049315,0.0230698470804,0.108867018595,1,0.7,30,9,5,10,20,0.000414895983931,2.44991929551e-09,0.000414895983931,0.00556539317094,0.00153658485331,0.00124176416364,0.000414895983931,2.44991929551e-09,0.000414895983931,0.0129789681641,0.96403908997,0.0129786108425
13,0.0633110146407,0.107189428661,0.160986960716,0.176667654836,0.0132406695561,0.0591567874355,0.00447658716611,0.0489919068652,0.0267042206722,0.038618043106,0.10436925272,0.196287473625,1,0.7,30,9,5,10,20,1.17750061269e-06,6.95302336786e-12,1.17750061269e-06,3.20436707828e-06,4.16706012721e-05,1.99889822319e-06,1.17750061269e-06,6.95302336786e-12,1.17750061269e-06,0.0131094366933,0.973729903644,0.0131090757798
14,0.0749478781824,0.027895312281,0.0767137965507,0.043513351892,0.0738453737654,0.240427965888,0.0376282955702,0.00606825674598,0.020892943684,0.0234660118642,0.126563899509,0.248036914067,1,0.7,30,9,5,10,20,1.25856021736e-06,7.43167222749e-12,1.25856021736e-06,2.69540832238e-06,1.15148052551e-05,4.9341892531e-07,1.25856021736e-06,7.43167222749e-12,1.25856021736e-06,0.0131098541978,0.973760914641,0.0131094932728
15,0.109671215176,0.120912592487,0.00518009310983,0.0129558769493,0.0434219582664,0.074202510113,0.0706806987997,0.0120125003604,0.118575692719,0.10875155357,0.0843479190698,0.239287389379,1,0.7,30,9,5,10,20,1.25371540223e-05,7.40306407864e-11,1.25371540223e-05,8.32869945168e-07,0.000160587653926,7.57950194572e-06,1.25371540223e-05,7.40306407864e-11,1.25371540223e-05,0.0131072398984,0.973566732266,0.0131068790454
16,0.147774296905,0.090685211667,0.153711346179,0.079458735506,0.0912757667587,0.0215765438251,0.0326078593255,0.102260288398,0.0283950078725,0.0457739525962,0.0539501022279,0.15253088874,1,0.7,30,9,5,10,20,1.32350296508e-06,7.81515265852e-12,1.32350296508e-06,5.42355869046e-06,1.40912054287e-05,3.48596123403e-06,1.32350296508e-06,7.81515265852e-12,1.32350296508e-06,0.0131097420164,0.973752582136,0.0131093810945
17,0.0366014889008,0.016411627706,0.146539915699,0.204927675689,0.0330424721119,0.0219785030637,0.0303951616252,0.131945749878,0.182736086204,0.0557497445999,0.0946689127304,0.0450026617924,1,0.7,30,9,5,10,20,0.000738519723898,4.36088511765e-09,0.000738519723898,0.0171497479687,0.00095658392596,0.00705495713976,0.000738519723898,4.36088511765e-09,0.000738519723898,0.0127415171999,0.946401939733,0.0127411664155
18,0.0405338272654,0.0542674669943,0.0478941594237,0.0296180950673,0.110272167544,0.0524679747095,0.319010575397,0.0609659667543,0.144197575457,0.0443119459191,0.0391531100669,0.0573071354013,1,0.7,30,9,5,10,20,0.000723258847626,4.27077116935e-09,0.000723258847626,0.00710401258249,0.00629237729249,0.00145133206669,0.000723258847626,4.27077116935e-09,0.000723258847626,0.0128775295191,0.956504529617,0.0128771749902
19,0.0277941156449,0.117817953084,0.0327448332138,0.152699877391,0.0778806158408,0.171596763533,0.00841319676015,0.0247844789951,0.0919949796687,0.0037640396959,0.138331603209,0.152177542964,1,0.7,30,9,5,10,20,1.53676361741e-07,9.07443548447e-13,1.53676361741e-07,1.22463962863e-06,2.43809767286e-06,7.16435190071e-07,1.53676361741e-07,9.07443548447e-13,1.53676361741e-07,0.0131100474935,0.973775272064,0.0131096865631
20,0.03433291217,0.025658456919,0.0282130558844,0.0980805737071,0.0466527861979,0.0140747310594,0.0870366596536,0.252453938261,0.137671387324,0.133473126464,0.0707395907602,0.0716127815991,1,0.7,30,9,5,10,20,0.00011519486667,6.80214168201e-10,0.00011519486667,0.00046929853222,0.00151968225173,8.10164014426e-05,0.00011519486667,6.80214168201e-10,0.00011519486667,0.0130769341782,0.97131571365,0.0130765741595
21,0.0489528161308,0.0189742633368,0.0314851895823,0.103877741535,0.433270892839,0.0407162884721,0.14506992008,0.0625030664793,0.0158812885527,0.0242750760107,0.0370737456239,0.0379197113577,1,0.7,30,9,5,10,20,0.00131548675722,7.76781775271e-09,0.00131548675722,0.0392526700777,0.00488925770844,0.00516513018266,0.00131548675722,7.76781775271e-09,0.00131548675722,0.0123947069403,0.920641906823,0.0123943657039
22,0.0184523363389,0.0208061449284,0.0552518075584,0.119029441234,0.111984221096,0.112572979874,0.0328061370726,0.0267574020553,0.073869702651,0.0912146165298,0.117602908076,0.219652302585,1,0.7,30,9,5,10,20,0.000102184763499,6.03390809986e-10,0.000102184763499,0.00690693367402,0.000836316922665,0.00224375043574,0.000102184763499,6.03390809986e-10,0.000102184763499,0.0129738236211,0.963656968645,0.0129734664411
23,0.115258030342,0.025844651715,0.0858458576802,0.0904693166949,0.00655254936144,0.0256603426353,0.0146303112078,0.13056775077,0.0138597848263,0.0169272313322,0.267263125446,0.207121047989,1,0.7,30,9,5,10,20,3.92430015725e-07,2.31725999986e-12,3.92430015725e-07,3.68890799043e-06,3.36993889635e-06,2.24413024886e-06,3.92430015725e-07,2.31725999986e-12,3.92430015725e-07,0.0131099704214,0.973769547383,0.0131096094932
24,0.185658443322,0.00472277671017,0.0393945380253,0.181023174269,0.0336878155217,0.17884099032,0.0130932791739,0.0235663079167,0.157568936982,0.0170169775894,0.0195947388842,0.145832021284,1,0.7,30,9,5,10,20,0.000613333596323,3.62167355293e-09,0.000613333596323,0.0108495272748,0.00741402756107,0.000196711706702,0.000613333596323,3.62167355293e-09,0.000613333596323,0.0128359331982,0.953414878816,0.0128355798145
25,0.0294968694237,0.111782882942,0.361754469994,0.0665048330147,0.0186835062161,0.0574835844058,0.0247410812853,0.00426201564898,0.00987816767201,0.0131479723909,0.123553968954,0.178710648053,1,0.7,30,9,5,10,20,1.39495009991e-05,8.23704084499e-11,1.39495009991e-05,2.99622794326e-08,4.26002798214e-05,1.48280627126e-05,1.39495009991e-05,8.23704084499e-11,1.39495009991e-05,0.0131086281586,0.9736698481,0.0131082672674
26,0.113986220214,0.0238656018973,0.0398198511337,0.260322997225,0.0166499012303,0.0583281471717,0.0954095798505,0.0803204760147,0.0233720427701,0.0709595449443,0.19340225257,0.0235633849789,1,0.7,30,9,5,10,20,0.000167591504298,9.89611073727e-10,0.000167591504298,0.00133448514888,0.00199427260576,0.00018140537131,0.000167591504298,9.89611073727e-10,0.000167591504298,0.0130553057285,0.969709216844,0.0130549463053
27,0.0432186095962,0.181257078231,0.0896126314707,0.099117562868,0.11713761721,0.00448819755206,0.0660116459336,0.312900409033,0.0290731477909,0.00989936542934,0.0293417250477,0.0179420098373,1,0.7,30,9,5,10,20,0.00193041810707,1.13989258804e-08,0.00193041810707,0.00722857439596,0.0267382998743,0.0157670040614,0.00193041810707,1.13989258804e-08,0.00193041810707,0.012356863904,0.917831038829,0.0123565237095
28,0.102351851536,0.0488602999057,0.111713454101,0.152549159365,0.0526638355079,0.0444545061899,0.175981839676,0.0615951621158,0.0194499866559,0.0486591522709,0.0733980684408,0.108322684235,1,0.7,30,9,5,10,20,0.000142878549555,8.43683547266e-10,0.000142878549555,0.00040794479983,0.00142094210981,0.000202718672558,0.000142878549555,8.43683547266e-10,0.000142878549555,0.0130759857473,0.97124526703,0.0130756257547
29,0.0298346248341,0.000546349076385,0.053511680763,0.481436297118,0.0706339215334,0.0407304056263,0.0488794543494,0.0591721590354,0.0224765236109,0.0588271049497,0.0162533199974,0.117698159106,1,0.7,30,9,5,10,20,0.000188333881368,1.11209273609e-09,0.000188333881368,0.000322182776555,0.00200841220097,0.000449440767963,0.000188333881368,1.11209273609e-09,0.000188333881368,0.0130637900381,0.970339406085,0.0130634303813
