run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0610672390342,0.00385729031804,0.0404673201197,0.154634369614,0.253639094181,0.263516913271,0.00637846845607,0.0384473926044,0.0425886345059,0.0841520770985,0.0465014950173,0.00474970578079,1,0.7,10,3,12,6,20,8.87367354752e-05,6.46890801615e-08,8.87367354752e-05,0.000268212704192,0.000480737818614,9.0922760867e-05,8.87367354752e-05,6.46890801615e-08,8.87367354752e-05,0.0731934579521,0.860698654741,0.064912937703
1,0.195410329651,0.0192154253692,0.0250961734445,0.0318225344718,0.0849800664561,0.345049980917,0.0398414782818,0.0457232806071,0.0270905147962,0.0173290994716,0.0778145166767,0.0906265998575,1,0.7,10,3,12,6,20,0.000186311012817,1.35820728344e-07,0.000186311012817,0.00027026102858,0.00139388113451,9.07397070649e-05,0.000186311012817,1.35820728344e-07,0.000186311012817,0.0730977933874,0.85957371319,0.0648280958592
2,0.0908476504345,0.0962164002041,0.118419273993,0.0307687761961,0.215491996944,0.0064602355342,0.0291777224115,0.134902256674,0.0899525080958,0.0594639190706,0.000722917972718,0.127576342469,1,0.7,10,3,12,6,20,0.000101109628038,7.370891884e-08,0.000101109628038,0.000266861092068,0.00105402013483,0.000110138439137,0.000101109628038,7.370891884e-08,0.000101109628038,0.0731465100243,0.860146583293,0.0648713010868
3,0.108038098173,0.00489011020586,0.00363916038333,0.489567193603,0.0671279104706,0.0707287114663,0.0863511796056,0.0711781397464,0.00467547431354,0.00305108602026,0.076521579874,0.0142313561377,1,0.7,10,3,12,6,20,0.000110784663951,8.07620200206e-08,0.000110784663951,0.000271710511546,0.00134379058385,0.000100317934071,0.000110784663951,8.07620200206e-08,0.000110784663951,0.073122802615,0.859867802432,0.0648502757436
4,0.183933505287,0.0069225464293,0.0460180660309,0.026135870468,0.078900191234,0.0436276393002,0.0768696458722,0.0689419177425,0.0248964489363,0.0991973231512,0.157155878247,0.187400967302,1,0.7,10,3,12,6,20,5.0906775751e-05,3.71110395224e-08,5.0906775751e-05,0.000264913027598,0.000369234802381,7.39651463519e-05,5.0906775751e-05,3.71110395224e-08,5.0906775751e-05,0.0732142063973,0.860942640466,0.0649313388357
5,0.0681421641953,0.184117650319,0.078049779394,0.118441345246,0.103317749737,0.0575289955895,0.0141194182311,0.0757257009169,0.00909389982286,0.0999288498139,0.181663205414,0.00987124131885,1,0.7,10,3,12,6,20,0.00033162409137,2.41753962608e-07,0.00033162409137,0.000298920988082,0.00106502371338,0.000154092985203,0.00033162409137,2.41753962608e-07,0.00033162409137,0.0730725392805,0.85927674436,0.0648056987995
6,0.0047788672351,0.256721094003,0.0223281452856,0.00434381913025,0.144117429671,0.147783590532,0.0475875854864,0.0933334986824,0.0266190229258,0.0298342494532,0.133043918117,0.0895087794793,1,0.7,10,3,12,6,20,0.00011856171205,8.64314880844e-08,0.00011856171205,0.000270796968495,0.000831987348955,9.14889241379e-05,0.00011856171205,8.64314880844e-08,0.00011856171205,0.0731587415538,0.860290416654,0.0648821488394
7,0.0440156838632,0.0717871324374,0.10351757276,0.0509413084476,0.0250990682402,0.0156230106832,0.16118334262,0.0519918079712,0.104252063357,0.0226199916063,0.338592434612,0.0103765834024,1,0.7,10,3,12,6,20,6.2162799224e-05,4.53166806343e-08,6.2162799224e-05,0.000264954055441,0.000557032792699,4.78666976751e-05,6.2162799224e-05,4.53166806343e-08,6.2162799224e-05,0.0731990532682,0.860764451346,0.0649179000099
8,0.0431596815354,0.0657382519092,0.0053303133962,0.0375351313953,0.0502116497899,0.0660197916273,0.0356623965695,0.0926636921728,0.0396998714565,0.216857299311,0.0714270502043,0.275694870632,1,0.7,10,3,12,6,20,7.86064545465e-05,5.73041053644e-08,7.86064545465e-05,0.000267928479246,0.00069755274062,8.48286585071e-05,7.86064545465e-05,5.73041053644e-08,7.86064545465e-05,0.0731810074546,0.860552246486,0.0649018957548
9,0.104698875439,0.170196896218,0.0188250047258,0.210744146825,0.130266510167,0.0363949949282,0.0688921314563,0.0125611461481,0.0653028180905,0.025399954646,0.0789016513744,0.077815869982,1,0.7,10,3,12,6,20,4.56953449282e-05,3.33119064526e-08,4.56953449282e-05,0.000264156963629,0.00037262055123,5.97694330336e-05,4.56953449282e-05,3.33119064526e-08,4.56953449282e-05,0.0732165821205,0.860970577139,0.0649334457886
10,0.144625487098,0.20616240276,0.0163632444971,0.0793492737907,0.0397298494277,0.0041531911347,0.10038543588,0.021968232068,0.120793817851,0.000287578633818,0.127318814286,0.138862672573,1,0.7,10,3,12,6,20,5.16881879183e-05,3.76806889924e-08,5.16881879183e-05,0.000264923407358,0.000278739914272,9.09224527749e-05,5.16881879183e-05,3.76806889924e-08,5.16881879183e-05,0.0732193654118,0.8610033065,0.0649359142007
11,0.00556353728998,0.0304339670062,0.0416191120541,0.0389108383097,0.0335261860349,0.127064072115,0.015569764779,0.224470668007,0.00269702801289,0.0555746954719,0.0992756459243,0.325294484995,1,0.7,10,3,12,6,20,9.70130567055e-05,7.07225183383e-08,9.70130567055e-05,0.00026809563523,0.00120409194524,7.74592655357e-05,9.70130567055e-05,7.07225183383e-08,9.70130567055e-05,0.0731390181444,0.86005848456,0.0648646567781
12,0.0454242431656,0.0738814419561,0.045518063135,0.186389083593,0.119106459472,0.0342885191258,0.191034408554,6.32465365498e-05,0.0397836641451,0.128816083252,0.11254262032,0.0231521667452,1,0.7,10,3,12,6,20,3.58106519288e-05,2.61059652561e-08,3.58106519288e-05,0.000264396015406,0.00068355714602,8.81805728674e-05,3.58106519288e-05,2.61059652561e-08,3.58106519288e-05,0.0731945953506,0.86071202967,0.0649139464253
13,0.0214302358466,0.00548361766325,0.117569182368,0.225304766389,0.0899618081066,0.0362038189814,0.100667594878,0.027292024887,0.180209835039,0.0391247113735,0.000104386216542,0.15664801825,1,0.7,10,3,12,6,20,7.30587667852e-05,5.32598409864e-08,7.30587667852e-05,0.000266887166456,0.000948697742133,8.76117629808e-05,7.30587667852e-05,5.32598409864e-08,7.30587667852e-05,0.0731641024049,0.86035345613,0.0648869032067
14,0.111549109593,0.0769625439486,0.295740557231,0.0316043539609,0.0273384962774,0.00170690351024,0.11398220444,0.204316091146,0.0459688461446,0.0180416707134,0.0167224330416,0.0560667899937,1,0.7,10,3,12,6,20,0.000104651459977,7.62909143235e-08,0.000104651459977,0.000266835370791,0.00106810673115,8.49391720808e-05,0.000104651459977,7.62909143235e-08,0.000104651459977,0.0731462876823,0.860143968723,0.0648711038989
15,0.0300200950822,0.0238311699314,0.015014869339,0.0779645229025,0.0073070555139,0.0286958166367,0.257355859874,0.131140184965,0.0231942978835,0.366708326919,0.0368839210805,0.0018838798728,1,0.7,10,3,12,6,20,0.000118588596067,8.64510865329e-08,0.000118588596067,0.000269615550503,0.00083298970308,8.7616448588e-05,0.000118588596067,8.64510865329e-08,0.000118588596067,0.0731590305716,0.86029381528,0.06488240516
16,0.0542512592652,0.131817098319,0.0553482974785,0.0335546766405,0.123000993901,0.0547780893396,0.115045728802,0.0793885021176,0.0752427344519,0.0755120033799,0.127058499737,0.0750021165678,1,0.7,10,3,12,6,20,0.000162242010213,1.18274425446e-07,0.000162242010213,0.000270247491443,0.00130549152876,4.98128347781e-05,0.000162242010213,1.18274425446e-07,0.000162242010213,0.0731143285999,0.859768154545,0.0648427604105
17,0.0803424375501,0.0365739317536,0.172040763059,0.143757344777,0.0703852325695,0.0322961920868,0.0163718297615,0.108549623975,0.0984452753681,0.111125812464,0.100993833815,0.0291177228201,1,0.7,10,3,12,6,20,6.80479455787e-05,4.96069523269e-08,6.80479455787e-05,0.000265196759612,0.000652577831237,0.000103498324617,6.80479455787e-05,4.96069523269e-08,6.80479455787e-05,0.0731862313946,0.860613675994,0.0649065287001
